49
480 1536 320
0 0 16 304
1 0 48 304
2 1 80 304
3 2 112 304
4 1 144 304
5 2 176 304
6 1 208 304
7 2 240 304
8 1 272 304
9 2 304 304
10 1 336 304
11 2 368 304
12 0 400 304
13 0 432 304
14 0 464 304
15 0 496 304
16 0 528 304
17 0 560 304
18 1 592 304
19 2 624 304
20 1 656 304
21 2 688 304
22 1 720 304
23 2 752 304
24 1 784 304
25 2 816 304
26 1 848 304
27 2 880 304
28 0 912 304
29 0 944 304
30 0 976 304
31 0 1008 304
32 0 1040 304
33 0 1072 304
34 0 1104 304
35 0 1136 304
36 0 1168 304
37 0 1200 304
38 0 1232 304
39 0 1264 304
40 3 1296 304
41 4 1328 304
42 5 1360 304
43 6 1392 304
44 5 1424 304
45 6 1456 304
46 7 1488 304
47 8 1520 304
48 9 16 272
49 10 48 272
50 9 80 272
51 10 112 272
52 9 144 272
53 10 176 272
54 9 208 272
55 10 240 272
56 9 272 272
57 10 304 272
58 9 336 272
59 10 368 272
60 0 400 272
61 0 432 272
62 0 464 272
63 0 496 272
64 9 528 272
65 10 560 272
66 9 592 272
67 10 624 272
68 9 656 272
69 10 688 272
70 9 720 272
71 10 752 272
72 9 784 272
73 10 816 272
74 9 848 272
75 10 880 272
76 0 912 272
77 0 944 272
78 0 976 272
79 0 1008 272
80 0 1040 272
81 0 1072 272
82 0 1104 272
83 0 1136 272
84 0 1168 272
85 0 1200 272
86 0 1232 272
87 0 1264 272
88 8 1296 272
89 8 1328 272
90 4 1360 272
91 11 1392 272
92 4 1424 272
93 11 1456 272
94 12 1488 272
95 8 1520 272
96 13 16 240
97 14 48 240
98 13 80 240
99 14 112 240
100 13 144 240
101 14 176 240
102 13 208 240
103 14 240 240
104 13 272 240
105 14 304 240
106 13 336 240
107 14 368 240
108 1 400 240
109 2 432 240
110 1 464 240
111 2 496 240
112 13 528 240
113 14 560 240
114 13 592 240
115 14 624 240
116 13 656 240
117 14 688 240
118 13 720 240
119 14 752 240
120 13 784 240
121 14 816 240
122 13 848 240
123 14 880 240
124 1 912 240
125 2 944 240
126 1 976 240
127 2 1008 240
128 1 1040 240
129 2 1072 240
130 1 1104 240
131 2 1136 240
132 1 1168 240
133 2 1200 240
134 1 1232 240
135 2 1264 240
136 8 1296 240
137 15 1328 240
138 16 1360 240
139 11 1392 240
140 16 1424 240
141 11 1456 240
142 17 1488 240
143 8 1520 240
144 9 16 208
145 10 48 208
146 18 80 208
147 19 112 208
148 9 144 208
149 10 176 208
150 9 208 208
151 10 240 208
152 9 272 208
153 10 304 208
154 9 336 208
155 10 368 208
156 9 400 208
157 10 432 208
158 9 464 208
159 10 496 208
160 9 528 208
161 10 560 208
162 18 592 208
163 19 624 208
164 9 656 208
165 10 688 208
166 9 720 208
167 10 752 208
168 9 784 208
169 10 816 208
170 9 848 208
171 10 880 208
172 9 912 208
173 10 944 208
174 9 976 208
175 10 1008 208
176 9 1040 208
177 10 1072 208
178 9 1104 208
179 10 1136 208
180 18 1168 208
181 19 1200 208
182 18 1232 208
183 19 1264 208
184 8 1296 208
185 4 1328 208
186 20 1360 208
187 21 1392 208
188 4 1424 208
189 11 1456 208
190 22 1488 208
191 8 1520 208
192 13 16 176
193 14 48 176
194 23 80 176
195 24 112 176
196 13 144 176
197 14 176 176
198 13 208 176
199 14 240 176
200 13 272 176
201 14 304 176
202 13 336 176
203 14 368 176
204 13 400 176
205 14 432 176
206 13 464 176
207 14 496 176
208 13 528 176
209 14 560 176
210 23 592 176
211 24 624 176
212 13 656 176
213 14 688 176
214 13 720 176
215 14 752 176
216 13 784 176
217 14 816 176
218 13 848 176
219 14 880 176
220 13 912 176
221 14 944 176
222 13 976 176
223 14 1008 176
224 13 1040 176
225 14 1072 176
226 13 1104 176
227 14 1136 176
228 23 1168 176
229 24 1200 176
230 23 1232 176
231 24 1264 176
232 8 1296 176
233 25 1328 176
234 26 1360 176
235 8 1392 176
236 16 1424 176
237 11 1456 176
238 7 1488 176
239 8 1520 176
240 18 16 144
241 19 48 144
242 8 80 144
243 8 112 144
244 18 144 144
245 19 176 144
246 18 208 144
247 19 240 144
248 18 272 144
249 19 304 144
250 18 336 144
251 19 368 144
252 18 400 144
253 19 432 144
254 18 464 144
255 19 496 144
256 18 528 144
257 19 560 144
258 8 592 144
259 8 624 144
260 18 656 144
261 19 688 144
262 18 720 144
263 19 752 144
264 18 784 144
265 19 816 144
266 18 848 144
267 19 880 144
268 18 912 144
269 19 944 144
270 18 976 144
271 19 1008 144
272 18 1040 144
273 19 1072 144
274 18 1104 144
275 19 1136 144
276 8 1168 144
277 8 1200 144
278 8 1232 144
279 8 1264 144
280 8 1296 144
281 4 1328 144
282 22 1360 144
283 8 1392 144
284 4 1424 144
285 11 1456 144
286 12 1488 144
287 8 1520 144
288 23 16 112
289 24 48 112
290 27 80 112
291 28 112 112
292 23 144 112
293 24 176 112
294 23 208 112
295 24 240 112
296 23 272 112
297 24 304 112
298 23 336 112
299 24 368 112
300 23 400 112
301 24 432 112
302 23 464 112
303 24 496 112
304 23 528 112
305 24 560 112
306 27 592 112
307 28 624 112
308 23 656 112
309 24 688 112
