State	x	y	rong	cao	so_frame	framePerRow
mario_nho_dung		15	1	15	15	1	1
mario_nho_di		0	0	15	16	2	2
mario_nho_chay		30	0	16	16	2	2
mario_nho_doihuong	62	0	14	16	1	1
mario_nho_nhay		76	0	16	16	1	1
mario_nho_darua		92	0	16	16	1	1
mario_nho_omrua		108	0	15	16	1	1
mario_nho_omruachay	108	0	15	16	2	2
mario_nho_omruanhay	123	0	15	16	1	1
mario_nho_chuiong	138	0	16	16	1	1
mario_nho_chet		154	0	16	16	1	1
mario_nho_nhaycao	170	0	16	16	1	1

mario_lon_dung		32	16	16	27	1	1
mario_lon_di		0	16	16	27	3	3
mario_lon_chay		48	16	19	27	3	3
mario_lon_doihuong	105	16	16	28	1	1
mario_lon_nhay		121	16	16	26	1	1
mario_lon_roi		16	16	16	27	1	1
mario_lon_ngoi		137	16	14	18	1	1
mario_lon_darua		151	16	21	27	1	1
mario_lon_omrua		172	16	15	27	1	1
mario_lon_omruachay	172	16	15	27	2	2
mario_lon_omruanhay	187	16	15	27	1	1
mario_lon_chuiong	202	16	16	27	1	1
mario_lon_nhaycao	218	16	19	26	1	1


mario_duoi_dung		0	44	21	28	1	1
mario_duoi_di		21	44	23	28	3	3
mario_duoi_chay		90	44	24	28	3	3
mario_duoi_doihuong	162	44	16	30	1	1
mario_duoi_nhay		178	44	23	27	1	1
mario_duoi_ngoi		201	44	22	18	1	1
mario_duoi_darua	223	44	22	28	1
mario_duoi_omrua	245	44	23	28	1	1
mario_duoi_omruachay	245	44	23	28	3	3
mario_duoi_omruanhay	291	44	23	28	1	1
mario_duoi_chuiong	314	44	16	28	1	1
mario_duoi_chuanbibay	354	44	24	28	1	1
mario_duoi_baylen	330	44	24	28	3	3
mario_duoi_roitudo	402	44	23	28	1	1
mario_duoi_bayxuong	425	44	23	28	1	1
mario_duoi_quayduoi	237	16	32	28	5	5
mario_duoi_nhayquayduoi	397	16	30	28	5	5
